id_collections,name
10194,Toy Story Collection
119050,Grumpy Old Men Collection
96871,Father of the Bride Collection
645,James Bond Collection
117693,Balto Collection
3167,Ace Ventura Collection
91698,Chili Palmer Collection
9435,Babe Collection
9818,Mortal Kombat Collection
136214,Pocahontas Collection
124935,The Lawnmower Man Collection
43563,Friday Collection
10924,From Dusk Till Dawn Collection
122017,Screamers Collection
256377,The Muppet Collection
91430,The Neverending Story Collection
14890,Bad Boys Collection
120794,Batman Collection
439053,Brooklyn Cigar Store Collection
8819,Casper Collection
9649,Mexico Trilogy
1570,Die Hard Collection
259398,Teenage Apocalypse Trilogy
9328,Free Willy Collection
286162,Power Rangers Collection
328073,Síť (kolekce)
9068,The Prophecy Collection
247294,Showgirls Collection
439053,Brooklyn Cigar Store Collection
9887,Species Collection
112399,Under Siege Collection
23170,Burnt by the Sun Trilogy
123800,Before... Collection
182813,Clerks Collection
96665,Dumb and Dumber Collection
410261,A Goofy Movie Collection
217704,The Vampire Chronicles
10,Star Wars Collection
286948,Nemesis Collection
300546,Once were Warriors Collection
48188,Poison Ivy Collection
131,Three Colors Collection
131,Three Colors Collection
131,Three Colors Collection
144200,Swan Princess Series
53159,The Santa Clause Collection
115142,Tales from the Crypt Collection
115570,Star Trek: The Next Generation Collection
3167,Ace Ventura Collection
192492,The Jack Ryan Collection
9436,The Crow Collection
351684,The Flintstones (Live-Action) Collection
94032,The Lion King Collection
8581,A Nightmare on Elm Street Collection
43072,The Mask Collection
37139,Naked Gun Collection
167985,Richie Rich Collection
43064,Speed Collection
170452,Timecop Collection
261203,Street Fighter
439409,Fear Collection
8050,Highlander Collection
11716,Addams Family Collection
162028,Stakeout Collection
85861,Beverly Hills Cop Collection
150156,City Slickers Collection
252313,The Endless Summer Collection
9328,Free Willy Collection
134011,The Fugitive / U.S. Marshals Collection
412680,Hard Target Collection
52988,Hot Shots! Collection
159600,House Party Collection
328,Jurassic Park Collection
8580,The Karate Kid Collection
5547,RoboCop Collection
462565,The Secret Garden Collection
105075,The Shadow Collection
422837,Blade Runner Collection
224478,The Brady Bunch Collection
9888,Home Alone Collection
86027,Aladdin Collection
528,The Terminator Collection
120794,Batman Collection
9743,The Hannibal Lecter Anthology
153010,Beauty and the Beast Collection
98580,Candyman Collection
43058,Homeward Bound Collection
141086,Heavy Metal Collection
8917,Hellraiser Collection
140910,All Dogs Go to Heaven Collection
87359,Mission: Impossible Collection
169452,DragonHeart Collection
36694,Bloodsport Collection
158391,The Apu Collection
158391,The Apu Collection
144146,Lemmy Caution Collection
143766,The Substitute Collection
52888,The Visitors Collection
23026,Ghost in the Shell Collection
529,Wallace & Gromit Collection
116661,The Arrival Collection
303969,"Martin Scorsese’s World Cinema Project, Vol. 1"
424202,Trainspotting Collection
304378,Independence Day Collection
97456,The Hunchback of Notre Dame Collection
86028,The Nutty Professor Collection
224478,The Brady Bunch Collection
9436,The Crow Collection
115142,Tales from the Crypt Collection
115838,Escape From ... Collection
230,The Godfather Collection
269098,Police Story Collection
269098,Police Story Collection
19163,The Land Before Time Collection
91361,Halloween Collection
4438,The Space Odyssey Series
47814,The Thin Man Collection
261590,Living Dead Collection
242765,In the Line of Duty Collection
10709,The Mighty Ducks Collection
87232,The Apple Dumpling Gang Collection
181496,Davy Crockett Collection
90348,Witch Mountain Collection
12087,Herbie Collection
12087,Herbie Collection
216395,Parent Trap Collection
43058,Homeward Bound Collection
294519,The Shaggy Dog Collection
55419,Cinderella Collection
271668,Caballeros Collection
100970,The Fox and the Hound Collection
355490,Freeway Collection
1570,Die Hard Collection
124935,The Lawnmower Man Collection
86027,Aladdin Collection
86058,Dirty Dancing Collection
118221,Weekend at Bernie's Collection
86336,Basic Instinct Collection
115225,Children of the Corn Collection
937,The Pink Panther (Original) Collection
115838,Escape From ... Collection
174218,The Howling Collection
39460,The Water of the Hills Collection
39460,The Water of the Hills Collection
529,Wallace & Gromit Collection
153948,Best of the Best Collection
33071,Cheech & Chong Collection
10,Star Wars Collection
84,Indiana Jones Collection
8091,Alien Collection
48317,The Man With No Name Collection
10,Star Wars Collection
8091,Alien Collection
1960,Evil Dead Collection
119674,Psycho Collection
112636,The Blues Brothers Collection
230,The Godfather Collection
529,Wallace & Gromit Collection
330605,The Sting Collection
528,The Terminator Collection
359005,The Jake Gittes Collection
1960,Evil Dead Collection
264,Back to the Future Collection
8050,Highlander Collection
55427,Fantasia Collection
173344,Qatsi Collection
84,Indiana Jones Collection
8091,Alien Collection
397842,The Amityville Horror Collection
397842,The Amityville Horror Collection
397842,The Amityville Horror Collection
397842,The Amityville Horror Collection
397842,The Amityville Horror Collection
397842,The Amityville Horror Collection
397842,The Amityville Horror Collection
422193,The Blob Collection
218406,Frankenstein (Universal Series)
98580,Candyman Collection
257053,Carrie Collection
8581,A Nightmare on Elm Street Collection
10919,The Omen Collection
498,Heart of Gold Collection
115570,Star Trek: The Next Generation Collection
307637,Jingle All the Way Collection
105629,Paradise Lost Collection
124916,101 Dalmatians (Live-Action) Collection
1570,Die Hard Collection
151,Star Trek: The Original Series Collection
151,Star Trek: The Original Series Collection
151,Star Trek: The Original Series Collection
151,Star Trek: The Original Series Collection
151,Star Trek: The Original Series Collection
151,Star Trek: The Original Series Collection
120794,Batman Collection
9329,Young Guns Collection
9329,Young Guns Collection
86083,Grease Collection
86083,Grease Collection
112399,Under Siege Collection
2366,The Jaws Collection
2366,The Jaws Collection
2366,The Jaws Collection
2602,Scream Collection
166379,Turbulence Collection
269098,Police Story Collection
393564,McHale's Navy Collection
108693,National Lampoon's Vacation Collection
86224,The Saint Collection
207952,Barrytown Trilogy
286162,Power Rangers Collection
105995,Anaconda Collection
1006,Austin Powers Collection
174407,Warriors of Virtue Collection
259398,Teenage Apocalypse Trilogy
328,Jurassic Park Collection
331475,Shiloh Collection
43064,Speed Collection
120794,Batman Collection
182923,Tetsuo Collection
86055,Men In Black Collection
43055,Conan the Barbarian Collection
126221,George of the Jungle Collection
97445,Air Bud Collection
9328,Free Willy Collection
10721,Mimic Collection
192492,The Jack Ryan Collection
142680,Alex Cross Collection
135489,Wishmaster Collection
3601,I Know What You Did Last Summer Collection
103372,Mr. Bean Collection
10522,Starship Troopers Collection
9818,Mortal Kombat Collection
8091,Alien Collection
372479,Les Boys
9888,Home Alone Collection
2602,Scream Collection
645,James Bond Collection
351886,The Postman Collection
71458,3 Ninjas Collection
9068,The Prophecy Collection
112636,The Blues Brothers Collection
134011,The Fugitive / U.S. Marshals Collection
33059,Wild Things Collection
350402,Barney Collection
221966,The Odd Couple Collection
9887,Species Collection
97771,Major League Collection
378453,Henry Fool Collection
87236,Mulan Collection
19387,The X-Files Collection
3169,Dr. Dolittle Collection
945,Lethal Weapon Collection
155474,French Connection Collection
1575,Rocky Collection
8581,A Nightmare on Elm Street Collection
8581,A Nightmare on Elm Street Collection
8581,A Nightmare on Elm Street Collection
8581,A Nightmare on Elm Street Collection
8581,A Nightmare on Elm Street Collection
9735,Friday the 13th Collection
9735,Friday the 13th Collection
9735,Friday the 13th Collection
9735,Friday the 13th Collection
9735,Friday the 13th Collection
9735,Friday the 13th Collection
9735,Friday the 13th Collection
9735,Friday the 13th Collection
91361,Halloween Collection
91361,Halloween Collection
91361,Halloween Collection
91361,Halloween Collection
91361,Halloween Collection
123255,Prom Night Collection
123255,Prom Night Collection
123255,Prom Night Collection
123255,Prom Night Collection
10455,Child's Play Collection
10455,Child's Play Collection
10455,Child's Play Collection
10453,Poltergeist Collection
10453,Poltergeist Collection
10453,Poltergeist Collection
12263,The Exorcist Collection
12263,The Exorcist Collection
12263,The Exorcist Collection
945,Lethal Weapon Collection
945,Lethal Weapon Collection
945,Lethal Weapon Collection
89151,The Gremlins Collection
89151,The Gremlins Collection
1657,Zorro Collection
264,Back to the Future Collection
264,Back to the Future Collection
372257,The Poseidon Adventure Collection
294468,Flubber Collection
87232,The Apple Dumpling Gang Collection
87250,Bambi Collection
230,The Godfather Collection
297143,Dexter Riley Collection
10709,The Mighty Ducks Collection
12087,Herbie Collection
12087,Herbie Collection
72119,"Honey, I Shrunk the Kids Collection"
72119,"Honey, I Shrunk the Kids Collection"
97459,The Jungle Book Collection
97460,Lady and the Tramp Collection
33085,The Little Mermaid Collection
10709,The Mighty Ducks Collection
256377,The Muppet Collection
100693,101 Dalmatians (Animated) Collection
55422,Peter Pan Collection
57971,The Rescuers Collection
57971,The Rescuers Collection
90348,Witch Mountain Collection
86027,Aladdin Collection
294519,The Shaggy Dog Collection
294468,Flubber Collection
248126,Splash Collection
63043,TRON Collection
91361,Halloween Collection
84,Indiana Jones Collection
141290,The Lord of the Rings Animated Collection
115225,Children of the Corn Collection
140910,All Dogs Go to Heaven Collection
11716,Addams Family Collection
263193,Charlotte's Web Collection
141292,The Secret Of NIMH Collection
8783,Fievel Collection
8783,Fievel Collection
102782,House Collection
102782,House Collection
87805,The Gods Must Be Crazy Collection
87805,The Gods Must Be Crazy Collection
97445,Air Bud Collection
143755,Henry: Portrait of a Serial Killer Collection
143755,Henry: Portrait of a Serial Killer Collection
264338,Rosemary's Baby Collection
91430,The Neverending Story Collection
91430,The Neverending Story Collection
47983,Killer Tomatoes! Collection
735,Blade Collection
432,Cube Collection
90863,Rush Hour Collection
52760,Urban Legend
479888,The Thing Collection
4438,The Space Odyssey Series
10455,Child's Play Collection
348843,Vampires Collection
100286,Elizabeth Collection
3601,I Know What You Did Last Summer Collection
374384,Stepford Collection
57129,Rugrats Collection
374509,Godzilla (Showa) Collection
374511,Godzilla (Heisei) Collection
374509,Godzilla (Showa) Collection
135495,King Kong (1933 series)
135498,King Kong (1976 series)
135498,King Kong (1976 series)
104833,Fletch Collection
104833,Fletch Collection
43055,Conan the Barbarian Collection
645,James Bond Collection
9338,Police Academy Collection
9338,Police Academy Collection
9338,Police Academy Collection
9338,Police Academy Collection
9338,Police Academy Collection
9338,Police Academy Collection
9435,Babe Collection
115570,Star Trek: The Next Generation Collection
5039,Rambo Collection
5039,Rambo Collection
5039,Rambo Collection
89264,Romancing the Stone Collection
89264,Romancing the Stone Collection
86307,Cocoon Collection
86307,Cocoon Collection
1575,Rocky Collection
1575,Rocky Collection
1575,Rocky Collection
1575,Rocky Collection
8580,The Karate Kid Collection
8580,The Karate Kid Collection
8580,The Karate Kid Collection
108693,National Lampoon's Vacation Collection
340623,The Gate Collection
340623,The Gate Collection
123213,The Fly (1958 series)
109609,The Fly Collection
109609,The Fly Collection
111751,Texas Chainsaw Massacre Collection
111751,Texas Chainsaw Massacre Collection
111751,Texas Chainsaw Massacre Collection
111751,Texas Chainsaw Massacre Collection
9332,Crocodile Dundee Collection
9332,Crocodile Dundee Collection
387219,The Hustler Collection
387618,8MM Collection
10789,Pet Sematary Collection
10789,Pet Sematary Collection
115225,Children of the Corn Collection
115225,Children of the Corn Collection
33938,Airport Collection
33938,Airport Collection
33938,Airport Collection
124934,Alligator Collection
166698,Westworld Collection
1709,Planet of the Apes Original Collection
1709,Planet of the Apes Original Collection
1709,Planet of the Apes Original Collection
1709,Planet of the Apes Original Collection
1709,Planet of the Apes Original Collection
33938,Airport Collection
372257,The Poseidon Adventure Collection
110127,Analyze Collection
52789,Cruel Intentions Collection
257053,Carrie Collection
2344,The Matrix Collection
1733,The Mummy Collection
205860,The Black Mask Collection
10,Star Wars Collection
221544,The Mummy (Universal Series)
138965,The Mummy (Hammer Series)
221544,The Mummy (Universal Series)
221544,The Mummy (Universal Series)
221544,The Mummy (Universal Series)
221544,The Mummy (Universal Series)
8537,Superman Collection
8537,Superman Collection
8537,Superman Collection
8537,Superman Collection
221539,Dracula (Universal Series)
221539,Dracula (Universal Series)
218406,Frankenstein (Universal Series)
218406,Frankenstein (Universal Series)
218406,Frankenstein (Universal Series)
218406,Frankenstein (Universal Series)
259027,The Wolf Man (Universal Series)
123720,Frankenstein (Hammer Series)
221539,Dracula (Universal Series)
259027,The Wolf Man (Universal Series)
174218,The Howling Collection
281644,Rocky Horror Collection
87228,Swamp Thing Collection
1006,Austin Powers Collection
106768,Tarzan (Animation) Collection
2806,American Pie Collection
104068,Tales of the Four Seasons
256377,The Muppet Collection
64750,Blair Witch Collection
97768,Lake Placid Collection
2980,Ghostbusters Collection
2980,Ghostbusters Collection
237445,Inspector Gadget Collection
185682,The Adventures of Antoine Doinel
135502,Allan Quatermain Collection
10919,The Omen Collection
10919,The Omen Collection
91663,Airplane Collection
91663,Airplane Collection
108693,National Lampoon's Vacation Collection
108693,National Lampoon's Vacation Collection
180854,Problem Child Collection
180854,Problem Child Collection
201873,A Christmas Story Collection
10713,Universal Soldier Collection
10713,Universal Soldier Collection
123251,Iron Eagle Collection
123251,Iron Eagle Collection
123251,Iron Eagle Collection
123251,Iron Eagle Collection
189295,The Spiders Serial
143757,Stir of Echoes Collection
98168,Fright Night Collection
98168,Fright Night Collection
146136,Armour of God Collection
146136,Armour of God Collection
47770,Phantasm Collection
119674,Psycho Collection
119674,Psycho Collection
12203,Drunken Master Collection
124492,The Dirty Dozen Collection
645,James Bond Collection
645,James Bond Collection
645,James Bond Collection
59586,The Blue Lagoon collection
48317,The Man With No Name Collection
9888,Home Alone Collection
380822,Penitenciaría - Colección
380822,Penitenciaría - Colección
122947,Omega Code Series
381396,Bats Collection
243598,The Best Man Collection
89188,Harry Palmer Collection
391047,On Any Sunday Collection
5547,RoboCop Collection
5547,RoboCop Collection
645,James Bond Collection
645,James Bond Collection
645,James Bond Collection
645,James Bond Collection
248339,House on Haunted Hill Collection
98036,Re-Animator Collection
107725,Creepshow Collection
107725,Creepshow Collection
98036,Re-Animator Collection
212279,Piranha Collection
398740,Mister Roberts Collection
48037,Meatballs Collection
48037,Meatballs Collection
48037,Meatballs Collection
48037,Meatballs Collection
34055,Pokémon Collection
207952,Barrytown Trilogy
48188,Poison Ivy Collection
48188,Poison Ivy Collection
95051,The Up Series
645,James Bond Collection
10194,Toy Story Collection
359005,The Jake Gittes Collection
95664,Deuce Bigalow Collection
135509,The Last Picture Show Collection
321063,The Sinbad Collection
99727,Stuart Little Collection
55427,Fantasia Collection
43563,Friday Collection
421904,Batman (DC Universe Animated) Collection
103573,Sister Act Collection
103573,Sister Act Collection
8979,Wayne's World Collection
8979,Wayne's World Collection
192492,The Jack Ryan Collection
9649,Mexico Trilogy
110179,The Cutting Edge Collection
2602,Scream Collection
338282,Single White Female Collection
87186,The Boondock Saints Collection
327598,"To Sir, with Love Collection"
